,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 321,3,1,1,3,1,4,1,2
responden 322,3,3,3,3,4,4,1,3
responden 323,3,3,1,4,3,3,1,2
responden 324,3,3,1,4,2,4,1,2
responden 325,3,3,2,4,2,3,1,3
responden 326,3,3,3,4,1,3,1,3
responden 327,4,3,3,2,2,3,1,3
responden 328,3,3,3,4,3,4,2,2
responden 329,4,4,3,3,3,4,2,3
responden 330,4,3,1,3,2,4,1,2
responden 331,4,3,3,4,3,3,2,3
responden 332,2,3,1,3,2,3,1,1
responden 333,3,2,3,4,2,4,2,3
responden 334,3,3,3,3,3,3,2,2
responden 335,2,1,1,4,1,4,2,2
responden 336,3,1,3,4,2,4,3,4
responden 337,3,1,1,3,3,3,3,3
responden 338,3,2,3,4,3,3,2,3
responden 339,3,2,4,2,3,1,2,3
responden 340,3,3,1,2,2,4,1,2
responden 341,3,3,3,4,1,3,1,2
responden 342,4,3,1,3,1,4,1,1
responden 343,4,3,1,3,1,4,1,4
responden 344,4,4,4,4,4,4,0,4
responden 345,4,3,2,3,2,3,1,2
responden 346,3,2,3,3,3,3,0,4
responden 347,3,3,1,3,1,2,2,3
responden 348,2,3,1,1,3,2,1,4
responden 349,3,3,3,3,2,4,1,2
responden 350,4,4,4,4,4,4,0,4
responden 351,4,3,4,4,4,1,4,3
responden 352,3,3,3,3,2,3,4,2
responden 353,3,3,3,4,1,3,2,2
responden 354,2,1,1,3,0,3,1,2
responden 355,3,2,1,3,4,4,0,2
responden 356,3,2,3,4,1,4,1,3
responden 357,4,1,3,3,3,2,0,2
responden 358,3,3,3,4,3,3,1,3
responden 359,3,3,1,4,4,4,2,3
responden 360,3,2,1,3,3,3,1,2
responden 361,3,4,3,4,1,4,1,2
responden 362,3,3,1,3,4,3,0,2
responden 363,3,3,1,3,4,3,0,2
responden 364,4,2,3,4,2,3,1,4
responden 365,4,3,1,4,2,4,1,4
responden 366,4,3,2,4,3,3,2,4
responden 367,4,4,3,4,3,4,2,3
responden 368,4,4,3,4,3,4,1,3
responden 369,4,1,4,4,3,4,1,4
responden 370,4,1,4,4,3,4,1,4
responden 371,4,4,1,4,2,4,1,3
responden 372,4,3,3,3,2,3,2,3
responden 373,4,3,2,3,2,3,3,2
responden 374,2,3,4,3,3,3,1,3
responden 375,4,3,4,4,1,3,0,1
responden 376,4,1,2,4,1,3,1,3
responden 377,3,0,1,4,2,3,1,3
responden 378,3,4,3,4,2,4,0,3
responden 379,3,2,2,3,2,4,1,2
